City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
255,Heihe,50.2441,127.4902,-0.68,90,100,6.47,light snow,CN
256,Moussoro,13.6408,16.4901,30.88,11,3,4.35,clear sky,TD
257,Lyuban,52.7985,28.0048,9.5,69,100,8.31,overcast clouds,BY
258,Hobyo,5.3505,48.5268,27.77,77,67,6.14,broken clouds,SO
259,Biharamulo,-2.6319,31.3089,16.0,95,68,0.76,light rain,TZ
260,Athabasca,54.7169,-113.2854,11.23,56,46,6.25,scattered clouds,CA
261,Ginda,30.6945,78.4932,13.53,23,0,3.6,clear sky,IN
262,Port Augusta,-32.5,137.7667,22.63,45,17,3.5,few clouds,AU
263,Portland,45.5234,-122.6762,26.06,32,54,1.79,broken clouds,US
264,Korla,41.7597,86.1469,15.41,22,7,1.49,clear sky,CN
265,Srednekolymsk,67.45,153.6833,-14.31,82,33,4.5,scattered clouds,RU
266,Giyon,8.5333,37.9833,16.6,41,41,3.11,scattered clouds,ET
267,Sulangan,11.1373,123.7228,26.12,85,100,6.54,overcast clouds,PH
268,Lyaskelya,61.7667,31.0167,0.84,99,100,3.18,overcast clouds,RU
269,Kholm,59.2667,32.85,3.39,99,100,3.68,light rain,RU
270,Sinnamary,5.3833,-52.95,25.12,89,98,5.88,overcast clouds,GF
271,Vila Franca Do Campo,37.7167,-25.4333,15.23,93,100,7.3,overcast clouds,PT
272,Hami,42.8,93.45,16.18,17,4,1.84,clear sky,CN
273,Lodwar,3.1191,35.5973,29.0,38,83,3.0,broken clouds,KE
274,Hasaki,35.7333,140.8333,16.27,45,10,3.1,clear sky,JP
275,Tyukhtet,56.5389,89.3011,0.51,88,98,2.09,overcast clouds,RU
276,Asfi,32.2994,-9.2372,14.15,80,0,7.69,clear sky,MA
277,Haines Junction,60.7522,-137.5108,4.97,45,100,3.6,overcast clouds,CA
278,Borba,-4.3878,-59.5939,24.13,97,92,0.94,overcast clouds,BR
279,Kotaparh,19.15,82.35,23.35,54,23,2.55,few clouds,IN
280,Gao,16.6362,1.637,31.77,8,0,3.48,clear sky,ML
281,Hambantota,6.1241,81.1185,25.71,82,99,2.17,overcast clouds,LK
282,Tigil,57.8,158.6667,-0.59,99,100,4.87,light snow,RU
283,Baharampur,24.1,88.25,23.43,80,26,3.17,scattered clouds,IN
284,Butia,-30.1197,-51.9622,18.2,98,100,0.5,light rain,BR
285,Rawson,-43.3002,-65.1023,13.67,88,100,7.53,light rain,AR
286,Shache,38.4167,77.2406,16.47,19,15,3.93,few clouds,CN
287,Ouahigouya,13.5828,-2.4216,32.74,25,72,3.07,broken clouds,BF
288,Gorontalo,0.5412,123.0595,27.47,81,96,0.61,overcast clouds,ID
289,Mehamn,71.0357,27.8492,-2.18,79,61,10.49,broken clouds,NO
290,Havre-Saint-Pierre,50.2334,-63.5986,2.2,75,75,3.09,broken clouds,CA
291,Fuling,29.7022,107.3919,18.68,59,18,1.07,few clouds,CN
292,Ambulu,-8.345,113.6058,25.55,86,72,0.44,broken clouds,ID
293,Moron,-34.6534,-58.6198,21.09,82,0,3.32,clear sky,AR
294,Abashiri,44.0213,144.2697,6.08,75,40,3.09,scattered clouds,JP
295,Lagoa,39.05,-27.9833,15.34,84,100,5.98,overcast clouds,PT
296,Pangnirtung,66.1451,-65.7125,-11.95,97,99,1.42,overcast clouds,CA
297,Springdale,36.1867,-94.1288,11.71,44,100,12.52,overcast clouds,US
298,Sembakung,3.8167,117.25,23.43,99,100,0.71,light rain,ID
299,Lagunas,-5.2269,-75.6753,24.97,89,86,1.27,overcast clouds,PE
300,Coahuayana,18.7333,-103.6833,25.85,64,85,2.21,overcast clouds,MX
301,Buriti Dos Lopes,-3.175,-41.8669,23.91,95,100,2.86,moderate rain,BR
302,Jalu,29.0331,21.5482,17.85,48,40,8.02,scattered clouds,LY
303,Saint Anthony,45.0205,-93.218,1.07,85,100,7.72,overcast clouds,US
304,Zemio,5.0314,25.1361,20.55,95,100,1.46,overcast clouds,CF
305,Rio Gallegos,-51.6226,-69.2181,8.03,71,0,2.06,clear sky,AR
306,Kiruna,67.8557,20.2251,-8.49,93,100,2.06,mist,SE
307,Kaitangata,-46.2817,169.8464,14.47,63,85,7.5,overcast clouds,NZ
308,Vardo,70.3705,31.1107,-0.53,71,52,7.06,broken clouds,NO
309,Ancud,-41.8697,-73.8203,12.35,90,95,0.59,overcast clouds,CL
310,Bengkulu,-3.8004,102.2655,23.79,78,96,1.87,overcast clouds,ID
311,Faanui,-16.4833,-151.75,27.79,75,21,7.8,few clouds,PF
312,Luderitz,-26.6481,15.1594,16.67,62,19,6.42,few clouds,NA
313,Usinsk,65.9939,57.5281,-18.81,92,100,4.21,overcast clouds,RU
314,Altamira,-3.2033,-52.2064,26.05,94,40,2.06,scattered clouds,BR
315,Bonfim,3.0833,-59.95,28.82,59,60,3.47,broken clouds,BR
316,Tocopilla,-22.092,-70.1979,19.75,72,38,2.42,scattered clouds,CL
317,Avera,33.194,-82.5271,19.73,49,1,3.73,clear sky,US
318,Buchanan,5.8808,-10.0467,25.44,84,98,2.29,overcast clouds,LR
319,Leningradskiy,69.3833,178.4167,-19.82,87,100,5.86,overcast clouds,RU
320,Arzamas,55.3949,43.8399,3.57,98,100,4.56,overcast clouds,RU
321,Madang,-5.2246,145.7966,27.39,81,100,1.09,overcast clouds,PG
322,Upernavik,72.7868,-56.1549,-14.48,96,100,0.47,overcast clouds,GL
323,Lazaro Cardenas,17.9583,-102.2,25.49,67,73,3.31,broken clouds,MX
324,Humberto De Campos,-2.5983,-43.4611,24.2,94,93,2.12,moderate rain,BR
325,Hollins,37.3413,-79.9431,14.39,55,71,0.45,broken clouds,US
326,Semporna,4.4818,118.6112,23.94,94,100,0.96,overcast clouds,MY
327,Ostersund,63.1792,14.6357,-6.75,93,55,3.09,broken clouds,SE
328,Jiazi,22.8779,116.067,20.5,59,0,4.14,clear sky,CN
329,Batagay,67.6333,134.6333,-13.31,92,99,0.96,overcast clouds,RU
330,Ossora,59.2353,163.0719,-3.27,90,100,0.66,overcast clouds,RU
331,Pangoa,-12.1167,-73.0,21.75,98,82,0.92,broken clouds,PE
332,Tandalti,13.0167,31.8667,29.19,35,14,6.18,few clouds,SD
333,Peniche,39.3558,-9.3811,15.06,83,100,5.07,overcast clouds,PT
334,Riohacha,11.5444,-72.9072,27.06,83,75,6.17,broken clouds,CO
335,Aras,42.5617,-2.356,12.24,66,0,1.54,clear sky,ES
336,Dongsheng,39.8161,109.9776,11.65,20,2,5.86,clear sky,CN
337,Banjar,-8.19,114.9675,25.45,86,94,2.18,overcast clouds,ID
338,Honiara,-9.4333,159.95,28.32,75,100,3.1,overcast clouds,SB
339,Domoni,-12.2569,44.5319,27.15,77,71,1.8,broken clouds,KM
340,Mount Pleasant,32.7941,-79.8626,22.32,55,0,4.63,clear sky,US
341,Orahovac,42.3994,20.6547,11.92,89,34,4.1,scattered clouds,XK
342,Andenes,69.3143,16.1194,-1.01,69,32,6.17,scattered clouds,NO
343,Tucuma,-0.1833,-50.05,24.05,94,100,2.35,moderate rain,BR
344,Mozarlandia,-14.7447,-50.5706,26.81,63,27,1.47,scattered clouds,BR
